"","logFC","logCPM","F","PValue","FDR"
"Rv2455c",-0.575119183033006,9.638822207948,25.6436813296142,6.15654444148428e-05,0.00123815148420401
"Rv0846c",-0.555458576257849,6.48826104653361,25.6349321309609,6.1687262558207e-05,0.00123815148420401
"Rv1815",0.544029924601769,7.56555785160921,25.7473180526569,6.21226267760385e-05,0.00124056047582201
"Rv1459c",0.452751201059528,6.39757956117609,25.4580530578878,6.41954586295957e-05,0.00127547946590318
"Rv0526",0.712862240506208,4.76921200920891,25.3583183769905,6.56647478573586e-05,0.00129811617121029
"Rv1257c",0.461292693711293,6.04885531817618,25.3267000284172,6.61312359542522e-05,0.00130080141122014
"papA1",-0.567198122140377,8.90490200987179,25.2529224657615,6.72455952869844e-05,0.00131614015850247
"dinF",0.712234691267775,4.28382133862917,25.2100835392307,6.79180606320385e-05,0.0013227210422101
"Rv1393c",-0.485645561613041,6.27411769063901,25.0179372367727,7.09388320070697e-05,0.0013604876669157
"ncRv2986Bc",0.547154893923888,8.39512074023452,25.0138265546307,7.10049679760263e-05,0.0013604876669157
"ncRv10815c",-0.945836257424975,3.20680536872346,25.0099563941788,7.11094101871946e-05,0.0013604876669157
"Rv3888c",-0.443124727148927,6.41927245259083,24.9993210524307,7.12405844902478e-05,0.0013604876669157
"lpqD",-0.429589457707576,7.18891891790594,24.938706449601,7.22335784330388e-05,0.00137278694471292
"zur",-0.506489811797108,6.18096715482624,24.8877394879572,7.30806899413953e-05,0.00138220881841081
"fadB5",-0.635188427781707,5.80917024987661,24.9232917652735,7.41724940308588e-05,0.00139614637089664
"mazF2",0.418936418170996,6.48571280767482,24.7360517654243,7.56668904930356e-05,0.00141749308190287
"aftB",0.478468744539171,6.76217309531868,24.6765135145096,7.67098435884347e-05,0.00142291312970133
"Rv0976c",0.83040869116275,3.90573917020665,24.6767010265853,7.67275427175042e-05,0.00142291312970133
"lgt",0.504536993679979,7.39386729487678,24.6521114964289,7.71416563121995e-05,0.00142291312970133
"Rv1374c",-0.560708058777787,8.05109426121083,24.7718389090241,7.74030019715515e-05,0.00142291312970133
"Rv0176",0.50434260371711,6.48371414611864,24.6056642353341,7.79720557881501e-05,0.00142670729056085
"moeW",-0.476357098260748,7.78291078788979,24.4947452040252,7.99909751041724e-05,0.00145687266694359
"Rv0885",-0.763267828995895,10.5545782287471,25.0142892357739,8.17790011720702e-05,0.00148257415028076
"Rv2517c",-0.705614392263367,4.55230548965289,24.3285403902148,8.31335150154485e-05,0.00148768648503527
"Rv0939",0.440030830236228,7.24871555241597,24.3168960429543,8.33528600739873e-05,0.00148768648503527
"Rv1951c",-0.638234094001081,4.41743106002814,24.3135725397444,8.34244187384634e-05,0.00148768648503527
"Rv1775",0.636474144356672,5.25296922058476,24.3056746104668,8.35736434145384e-05,0.00148768648503527
"hemD",0.500117323555498,7.47764469880532,24.2134501140188,8.5379812900736e-05,0.00151299181960133
"Rv3188",-0.776863479649153,5.07966200778619,24.0817278874848,8.80443869745971e-05,0.00155321353523796
"Rv1869c",0.435412083508575,6.72063281378786,23.8936339705669,9.19986118601611e-05,0.00161572562079408
"cfp6",0.60858938124677,4.63398004102469,23.7510589012975,9.51403301849734e-05,0.00164696185019938
"espE",-0.542061867915708,8.02771869566075,23.8180528521165,9.57071723200442e-05,0.00164696185019938
"nrp",0.42416355646389,6.7077575732163,23.70032193683,9.62726315374986e-05,0.00164696185019938
"Rv3750c",-0.557917079802797,7.16777085132259,23.9940106404837,9.66206344987638e-05,0.00164696185019938
"Rv3267",0.470117409590255,6.75930299695093,23.6824277483917,9.66794762945298e-05,0.00164696185019938
"Rv3706c",-0.697610683504912,4.52051621110462,23.6642304393782,9.71016668694541e-05,0.00164696185019938
"aceAa",-0.466406111817416,7.81761500672625,23.6594284749753,9.72043453347376e-05,0.00164696185019938
"nagA",1.0129122001348,3.92268088116317,24.7286577242215,9.74569146803684e-05,0.00164696185019938
"Rv3169",-0.645888043421808,6.53377799644756,24.6937399930928,9.75450206142489e-05,0.00164696185019938
"alkA",0.5054621949624,6.52595546665558,23.3687390751196,0.000104123993174435,0.0017466988701821
"Rv2680",0.518929459813474,5.61771450699847,23.353171392151,0.000104513364081626,0.0017466988701821
"fadE21",0.499748126940519,6.77645284905662,23.3420975155707,0.000104784172181743,0.0017466988701821
"rne",0.448553110136764,9.11715116491645,23.2629612573533,0.000106774313368391,0.00176832040385143
"Rv1178",0.645966365338773,7.57862746802737,25.2727597966187,0.000106980237955424,0.00176832040385143
"acn",-0.419592383363605,7.55119645767778,23.2087921472444,0.000108160880025965,0.00178035523858638
"esxA",-1.29677386545506,11.0570364747231,31.0693301077998,0.000109046912488483,0.00178102978715284
"ispD",0.451703434569443,8.55579540334977,23.1589623245269,0.000109453688075793,0.00178102978715284
"Rv2017",-0.627269763322842,4.9448486807075,23.1550988798895,0.000109560042829432,0.00178102978715284
"Rv2636",-0.666940975630313,4.53075435256344,23.1151425704104,0.000110615330772932,0.00179078482000294
"Rv0308",-0.476765935676092,7.23876400199012,23.0858662466099,0.000111381385846448,0.00179579660622921
"cspA",0.546450757126675,9.39250346867092,23.0421418728595,0.000112552210282626,0.00180726691939531
"rplO",0.385073828931209,7.73612621229618,22.9737045061031,0.000114412459950042,0.00182966917659946
"cysE",0.820620749848232,4.6995271221661,23.7548029202126,0.000115349704051127,0.00183718921351066
"papA3",-0.551196319828332,9.3350517285619,22.9135507659323,0.000116075342142092,0.00184129191930238
"glnA1",-0.458487476809076,9.53466286433295,22.8960582678384,0.000116563937173643,0.00184161658169121
"Rv1026",0.689765311416949,4.00368162383138,22.8519671454384,0.000117862345374094,0.00184724314670054
"Rv0954",0.489926645959824,7.76542895391578,22.8393303686383,0.000118164180619379,0.00184724314670054
"Rv1778c",-0.635621969307822,4.81332466238699,22.8337911656353,0.000118328742493273,0.00184724314670054
"pitA",0.40920508103579,7.91234142481418,22.7718324236132,0.000120099861854022,0.00186748164637836
"Rv3856c",0.449236985250561,6.40312411831083,22.5854992113815,0.000125627791366912,0.00194573950890007
"Rv3647c",0.763278172037205,5.2965309586052,23.8115897982231,0.000126535614013047,0.00194573950890007
"Rv0139",0.524891908092398,5.28656610224147,22.5395973740992,0.000127038780897659,0.00194573950890007
"PPE32",-0.711891067995477,7.68891120077403,25.2122461250658,0.000127588333823745,0.00194573950890007
"ggtB",0.437180697088425,7.6300829631374,22.5210053124686,0.000127605692246115,0.00194573950890007
"Rv0052",0.664419318260467,4.28728905248309,22.4941808362051,0.000128456185634675,0.00195114530612669
"usfY",-0.553995059732806,6.22428114116975,22.4550940133307,0.000129664846056925,0.0019570416598405
"Rv1286",-0.795813283920053,7.0318250648842,27.0818230536656,0.000129839317035681,0.0019570416598405
"Rv1990c",-0.504992753081571,5.98914712193403,22.3745478357564,0.00013222879912501,0.00198149369587001
"ncRv0641",0.396758179017364,7.50168748638124,22.3670321278457,0.000132468948147893,0.00198149369587001
"rplQ",0.385788899924787,8.00838368285839,22.3323760570621,0.000133591509250902,0.0019907158992161
"Rv2556c",0.403969320100776,6.37524520815293,22.307286543321,0.000134411100170591,0.00199537082290983
"arsB2",0.774639724642753,3.80507414760531,22.142491079218,0.00013998077973907,0.00207024205824624
"Rv2169c",-0.548551739770775,8.33848775617051,22.1951095608489,0.000141956543347748,0.00209159940647955
"Rv3168",-0.59744415105603,6.19451743200536,22.5259771233161,0.000144491415856704,0.00212100458947863
"Rv2417c",0.503179471967071,5.14521903136054,21.9309493496766,0.000147398818599415,0.00215563922814164
"drrA",0.480024915220815,5.84006266281548,21.8721546689535,0.000149543568427186,0.00217890517849092
"canA",-0.850110493914529,6.7121324868953,27.0895223059772,0.000151008089339358,0.00219212480981932
"Rv3090",-0.675702166800216,4.37826021487601,21.8062727225594,0.000152007550598753,0.00219667591090634
"Rv2821c",-0.631403128031528,5.71013389801356,21.9031455266376,0.000152438363924105,0.00219667591090634
